"Item","Quantity","Unit Price (USD)","Total Price (USD)","AliExpress Search Link"
"Joystick Module","1","5.72","5.72","https://ar.aliexpress.com/item/1005008290657090.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.5.5a2522679yrn2m&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=aeb1802c-d6c1-4600-847a-23ebb79c1328&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Aaeb1802c-d6c1-4600-847a-23ebb79c1328%2Ctpp_buckets%3A668%232846%238112%231997&isseo=y&pdp_ext_f=%7B%22order%22%3A%222005%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008290657090%7C_p_origin_prod%3A&gatewayAdapt=glo2ara"
"Rotary Encoder Module","1","6.00","6.00","https://ar.aliexpress.com/item/1005001423308166.html?spm=a2g0o.productlist.main.4.7903kB5FkB5FAR&aem_p4p_detail=202606160815183442194634722500000234485&algo_pvid=44839464-c7c5-4b8a-b9f8-27fd6224efe1&pdp_ext_f=%7B%22order%22%3A%22351%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001423308166%7C_p_origin_prod%3A&search_p4p_id=202606160815183442194634722500000234485_1"
"Linear Potentiometer","1","5.38 ","5.38 ","https://ar.aliexpress.com/item/1005007393023800.html?spm=a2g0o.productlist.main.13.692334bajFePrK&algo_pvid=59e636c6-ea50-4374-b557-4dd3e638e8fb&pdp_ext_f=%7B%22order%22%3A%22575%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007393023800%7C_p_origin_prod%3A"
"10K Potentiometer","1","0.30","0.30","https://ar.aliexpress.com/item/1005005709041048.html?spm=a2g0o.productlist.main.12.6a594f77XCmkUP&aem_p4p_detail=20260616081758662589400416430000234688&algo_pvid=3f7b1b78-892a-4715-b63c-34be50534d32&pdp_ext_f=%7B%22order%22%3A%227573%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005709041048%7C_p_origin_prod%3A&search_p4p_id=20260616081758662589400416430000234688_3"
"1.77 TFT 160x128 Display (ST7735)","1","1.86","1.86","https://ar.aliexpress.com/item/1005006309710568.html?spm=a2g0o.productlist.main.33.263166ebURBP65&algo_pvid=8af55011-b4da-4bfa-aec3-801a7d48205e&pdp_ext_f=%7B%22order%22%3A%224274%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006309710568%7C_p_origin_prod%3A"
"AMS1117 Module","1","0.93","0.93","https://ar.aliexpress.com/item/1005011921793796.html?spm=a2g0o.productlist.main.4.2680r6Hcr6HcmQ&aem_p4p_detail=2026061608201012503457355333500000236621&algo_pvid=c0374b86-9cdc-4b70-a3c9-f14c6e4f611f&pdp_ext_f=%7B%22order%22%3A%22111%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011921793796%7C_p_origin_prod%3A&search_p4p_id=2026061608201012503457355333500000236621_1"
"6x6 Tactile Button","4","4.16","4.16","https://ar.aliexpress.com/item/1005010093330224.html?spm=a2g0o.productlist.main.3.5765cgjYcgjYi6&algo_pvid=82f53af0-997f-43c9-a110-16be56accf64&pdp_ext_f=%7B%22order%22%3A%22199%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010093330224%7C_p_origin_prod%3A"
"18650 Battery Cell","2","1.71","3.42","https://ar.aliexpress.com/item/1005011974701653.html?spm=a2g0o.productlist.main.5.4350GcG4GcG48p&algo_pvid=85451553-0fb7-4e8e-bb8d-a4cca99614aa&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011974701653%7C_p_origin_prod%3A"
"18650 2-Cell Battery Holder","1","0.97","0.97","https://ar.aliexpress.com/item/4000859859685.html?spm=a2g0o.productlist.main.16.2497AES9AES9mh&aem_p4p_detail=202606160823528892281362560660000240844&algo_pvid=c4e37a5b-ccf6-4827-a02d-4a053e86c466&pdp_ext_f=%7B%22order%22%3A%223565%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000859859685%7C_p_origin_prod%3A&search_p4p_id=202606160823528892281362560660000240844_4"
"Heat Set Inserts (M3)","1","1.47
","1.47","https://ar.aliexpress.com/item/1005009760789373.html?spm=a2g0o.productlist.main.6.74289IST9ISTXC&algo_pvid=b06d315d-5369-4a39-9cf8-c2b205ded009&pdp_ext_f=%7B%22order%22%3A%22547%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009760789373%7C_p_origin_prod%3A"
"On/Off Switch","1","5.38 ","5.38 ","https://ar.aliexpress.com/item/1005008525408190.html?spm=a2g0o.productlist.main.4.5379RqFSRqFS4z&aem_p4p_detail=20260616082653695091761615080000238448&algo_pvid=7bb619f7-7df4-4e4e-b7c5-d0f6c830290f&pdp_ext_f=%7B%22order%22%3A%22728%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008525408190%7C_p_origin_prod%3A&search_p4p_id=20260616082653695091761615080000238448_1"
"XH2.54 Connector Kit","1","7.26","7.26","https://ar.aliexpress.com/item/1005006498660940.html?spm=a2g0o.productlist.main.12.54c10KDD0KDD7E&aem_p4p_detail=202606160828221259161802165880000214332&algo_pvid=b22deeb2-09d9-464e-ac3c-252c141b8ac6&pdp_ext_f=%7B%22order%22%3A%222622%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006498660940%7C_p_origin_prod%3A&search_p4p_id=202606160828221259161802165880000214332_3"
"ESP32-S3 Development Board","1","13.82","13.82","https://ar.aliexpress.com/item/1005010195145577.html?spm=a2g0o.productlist.main.3.58247tnX7tnX5w&algo_pvid=593c5973-9521-4fe3-9f5b-321c79f9c990&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010195145577%7C_p_origin_prod%3A"
